,date,tweet,tweet_cleaned
0,2023-01-01,"Resuelto, muchísimas gracias , excelente servicio como siempre","['resolved', 'thank', 'you', 'very', 'much', 'excellent', 'service', 'always', 'resolved thank', 'thank you', 'you very', 'very much', 'much excellent', 'excellent service', 'service always']"
1,2023-01-02,"Muchas gracias, espero su dm","['thank', 'you', 'very', 'much', 'i', 'wait', 'for', 'your', 'dm', 'thank you', 'you very', 'very much', 'much i', 'i wait', 'wait for', 'for your', 'your dm']"
2,2023-01-02,Muchas gracias!,"['thank', 'you', 'so', 'much', 'thank you', 'you so', 'so much']"
3,2023-01-02,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,"['something', 'similar', 'happened', 'to', 'wanted', 'to', 'renew', 'my', 'token', 'to', 'be', 'able', 'to', 'transfer', 'before', 'closing', 'the', 'account', 'and', 'wa', 'easier', 'to', 'get', 'the', 'money', 'through', 'the', 'window', 'something similar', 'similar happened', 'happened to', 'to wanted', 'wanted to', 'to renew', 'renew my', 'my token', 'token to', 'to be', 'be able', 'able to', 'to transfer', 'transfer before', 'before closing', 'closing the', 'the account', 'account and', 'and wa', 'wa easier', 'easier to', 'to get', 'get the', 'the money', 'money through', 'through the', 'the window']"
4,2023-01-02,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,"['yeeeei', 'through', 'my', 'account', 'i', 'just', 'hired', 'my', 'saving', 'account', 'with', 'my', 'challenge', 'to', 'have', 'thousand', 'peso', 'at', 'the', 'end', 'of', 'the', 'super', 'tool', 'to', 'house', 'my', 'account', 'and', 'thus', 'save', 'disciplinedly', 'every', 'week', 'come', 'on', 'yeeeei through', 'through my', 'my account', 'account i', 'i just', 'just hired', 'hired my', 'my saving', 'saving account', 'account with', 'with my', 'my challenge', 'challenge to', 'to have', 'have thousand', 'thousand peso', 'peso at', 'at the', 'the end', 'end of', 'of the', 'the super', 'super tool', 'tool to', 'to house', 'house my', 'my account', 'account and', 'and thus', 'thus save', 'save disciplinedly', 'disciplinedly every', 'every week', 'week come', 'come on']"
5,2023-01-02,Esta es la señal que necesitan para tener el mínimo dinero en banamex,"['this', 'is', 'the', 'signal', 'they', 'need', 'to', 'have', 'the', 'minimum', 'money', 'in', 'banamex', 'this is', 'is the', 'the signal', 'signal they', 'they need', 'need to', 'to have', 'have the', 'the minimum', 'minimum money', 'money in', 'in banamex']"
6,2023-01-03,Gracias 😁,['gracias']
7,2023-01-03,Muchas gracias 😊,"['thank', 'you', 'very', 'much', 'thank you', 'you very', 'very much']"
8,2023-01-03,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.","['i', 'do', 'know', 'much', 'but', 'i', 'recommend', 'the', 'investment', 'the', 'best', 'yield', 'i', 'have', 'seen', 'and', 'term', 'to', 'that', 'of', 'this', 'chingón', 'but', 'they', 'have', 'limit', 'in', 'investment', 'i do', 'do know', 'know much', 'much but', 'but i', 'i recommend', 'recommend the', 'the investment', 'investment the', 'the best', 'best yield', 'yield i', 'i have', 'have seen', 'seen and', 'and term', 'term to', 'to that', 'that of', 'of this', 'this chingón', 'chingón but', 'but they', 'they have', 'have limit', 'limit in', 'in investment']"
9,2023-01-04,Gracias por la playera que me dieron en Galerías GDL.,"['thanks', 'for', 'the', 'shirt', 'they', 'gave', 'in', 'gdl', 'gallery', 'thanks for', 'for the', 'the shirt', 'shirt they', 'they gave', 'gave in', 'in gdl', 'gdl gallery']"
10,2023-01-04,buen día...tengo problemas con mi cuenta,"['good', 'morning', 'i', 'have', 'problem', 'with', 'my', 'account', 'good morning', 'morning i', 'i have', 'have problem', 'problem with', 'with my', 'my account']"
11,2023-01-05,Gracias,['gracias']
12,2023-01-05,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,"['my', 'respect', 'for', 'you', 'thanks', 'for', 'the', 'service', 'my respect', 'respect for', 'for you', 'you thanks', 'thanks for', 'for the', 'the service']"
13,2023-01-05,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias","['if', 'i', 'already', 'block', 'and', 'unlock', 'it', 'and', 'i', 'could', 'make', 'the', 'deposit', 'in', 'oxxo', 'thanks', 'if i', 'i already', 'already block', 'block and', 'and unlock', 'unlock it', 'it and', 'and i', 'i could', 'could make', 'make the', 'the deposit', 'deposit in', 'in oxxo', 'oxxo thanks']"
14,2023-01-06,"Ya todo bien, gracias 👍","['all', 'good', 'thanks', 'all good', 'good thanks']"
15,2023-01-06,Milagro que me gano algo 🫶🏻,"['miracle', 'that', 'i', 'gain', 'something', 'miracle that', 'that i', 'i gain', 'gain something']"
16,2023-01-06,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,"['yes', 'friend', 'hahaha', 'is', 'very', 'father', 'and', 'you', 'can', 'invent', 'and', 'give', 'you', 'good', 'performance', 'yes friend', 'friend hahaha', 'hahaha is', 'is very', 'very father', 'father and', 'and you', 'you can', 'can invent', 'invent and', 'and give', 'give you', 'you good', 'good performance']"
17,2023-01-06,nunca había ganado nada antes ✨ hahaha,"['i', 'had', 'never', 'won', 'anything', 'before', 'hahaha', 'i had', 'had never', 'never won', 'won anything', 'anything before', 'before hahaha']"
18,2023-01-06,Con el CashBack de pude pagar mi servicio de internet. yei :),"['with', 'i', 'wa', 'able', 'to', 'pay', 'my', 'internet', 'with i', 'i wa', 'wa able', 'able to', 'to pay', 'pay my', 'my internet']"
19,2023-01-07,Gracias!!!,['gracias']
20,2023-01-07,"Listo, gracias","['ready', 'thanks', 'ready thanks']"
21,2023-01-07,Si gracias,"['yes', 'thanks', 'yes thanks']"
22,2023-01-08,A mí me llegó una semana después aprox,"['i', 'got', 'week', 'later', 'approx', 'i got', 'got week', 'week later', 'later approx']"
23,2023-01-09,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,"['hello', 'good', 'day', 'i', 'have', 'some', 'doubt', 'with', 'my', 'account', 'could', 'get', 'in', 'touch', 'thank', 'you', 'very', 'much', 'hello good', 'good day', 'day i', 'i have', 'have some', 'some doubt', 'doubt with', 'with my', 'my account', 'account could', 'could get', 'get in', 'in touch', 'touch thank', 'thank you', 'you very', 'very much']"
24,2023-01-10,Muchas gracias!,"['thank', 'you', 'so', 'much', 'thank you', 'you so', 'so much']"
25,2023-01-10,Muchas gracias 🙏,"['thank', 'you', 'very', 'much', 'thank you', 'you very', 'very much']"
26,2023-01-10,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.","['block', 'the', 'card', 'minute', 'or', 'more', 'posterioment', 'you', 'will', 'unlock', 'it', 'again', 'and', 'you', 'add', 'is', 'the', 'solution', 'you', 'confirm', 'with', 'tweet', 'please', 'block the', 'the card', 'card minute', 'minute or', 'or more', 'more posterioment', 'posterioment you', 'you will', 'will unlock', 'unlock it', 'it again', 'again and', 'and you', 'you add', 'add is', 'is the', 'the solution', 'solution you', 'you confirm', 'confirm with', 'with tweet', 'tweet please']"
27,2023-01-10,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.","['it', 'is', 'unit', 'of', 'all', 'the', 'platform', 'in', 'which', 'i', 'have', 'invented', 'the', 'best', 'are', 'finsus', 'and', 'cetes', 'for', 'long', 'term', 'and', 'heybanco', 'is', 'for', 'the', 'best', 'option', 'for', 'your', 'emergency', 'fund', 'since', 'you', 'have', 'weekly', 'finsus', 'i', 'am', 'around', 'of', 'my', 'poafolio', 'it is', 'is unit', 'unit of', 'of all', 'all the', 'the platform', 'platform in', 'in which', 'which i', 'i have', 'have invented', 'invented the', 'the best', 'best are', 'are finsus', 'finsus and', 'and cetes', 'cetes for', 'for long', 'long term', 'term and', 'and heybanco', 'heybanco is', 'is for', 'for the', 'the best', 'best option', 'option for', 'for your', 'your emergency', 'emergency fund', 'fund since', 'since you', 'you have', 'have weekly', 'weekly finsus', 'finsus i', 'i am', 'am around', 'around of', 'of my', 'my poafolio']"
28,2023-01-11,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,"['excellent', 'thanks', 'for', 'answering', 'we', 'will', 'be', 'very', 'attentive', 'excellent thanks', 'thanks for', 'for answering', 'answering we', 'we will', 'will be', 'be very', 'very attentive']"
29,2023-01-11,"Pues bueno, me quedé sin cena, muchas gracias 👍","['well', 'i', 'ran', 'out', 'of', 'dinner', 'thank', 'you', 'very', 'much', 'well i', 'i ran', 'ran out', 'out of', 'of dinner', 'dinner thank', 'thank you', 'you very', 'very much']"
30,2023-01-11,"Gracias e igualmente, bendiciones 🙏","['thanks', 'and', 'also', 'blessing', 'thanks and', 'and also', 'also blessing']"
31,2023-01-11,Vale estoy esperando,"['ok', 'i', 'waiting', 'ok i', 'i waiting']"
32,2023-01-11,Muchas gracias espero la respuesta,"['thank', 'you', 'very', 'much', 'i', 'hope', 'the', 'answer', 'thank you', 'you very', 'very much', 'much i', 'i hope', 'hope the', 'the answer']"
33,2023-01-13,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,"['i', 'earned', 'credit', 'peso', 'at', 'amazon', 'coesía', 'what', 'pleasant', 'subject', 'i earned', 'earned credit', 'credit peso', 'peso at', 'at amazon', 'amazon coesía', 'coesía what', 'what pleasant', 'pleasant subject']"
34,2023-01-13,es mejor,"['is', 'better', 'is better']"
35,2023-01-13,Contéstenme por favor,['please']
36,2023-01-14,Muchas gracias que amables 😊,"['thank', 'you', 'very', 'much', 'that', 'friendly', 'thank you', 'you very', 'very much', 'much that', 'that friendly']"
37,2023-01-14,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito","['hey', 'banco', 'many', 'year', 'bancomer', 'client', 'and', 'i', 'found', 'and', 'the', 'truth', 'is', 'very', 'comfortable', 'with', 'the', 'service', 'app', 'and', 'debit', 'card', 'and', 'credit', 'card', 'hey banco', 'banco many', 'many year', 'year bancomer', 'bancomer client', 'client and', 'and i', 'i found', 'found and', 'and the', 'the truth', 'truth is', 'is very', 'very comfortable', 'comfortable with', 'with the', 'the service', 'service app', 'app and', 'and debit', 'debit card', 'card and', 'and credit', 'credit card']"
38,2023-01-14,amigos les mandé dm gracias,"['friend', 'i', 'sent', 'you', 'dm', 'thank', 'you', 'friend i', 'i sent', 'sent you', 'you dm', 'dm thank', 'thank you']"
39,2023-01-14,solicito su ayuda gracias,"['i', 'request', 'your', 'help', 'thanks', 'i request', 'request your', 'your help', 'help thanks']"
40,2023-01-15,Gracias!Ya respondí.Quedo atenta,"['thanks', 'i', 'already', 'replied', 'i', 'continue', 'attentive', 'thanks i', 'i already', 'already replied', 'replied i', 'i continue', 'continue attentive']"
41,2023-01-16,Va gracias,"['it', 'go', 'thanks', 'it go', 'go thanks']"
42,2023-01-16,No sé ni a qué le piqué pero muchas gracias😂❤️,"['i', 'do', 'know', 'what', 'i', 'piqua', 'but', 'thank', 'you', 'very', 'i do', 'do know', 'know what', 'what i', 'i piqua', 'piqua but', 'but thank', 'thank you', 'you very']"
43,2023-01-16,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss","['seasonal', 'planning', 'of', 'the', 'team', 'thanks', 'to', 'the', 'ocnfianza', 'from', 'day', 'and', 'the', 'sponsorship', 'bomb', 'is', 'coming', 'with', 'the', 'double', 'davilacarloss', 'seasonal planning', 'planning of', 'of the', 'the team', 'team thanks', 'thanks to', 'to the', 'the ocnfianza', 'ocnfianza from', 'from day', 'day and', 'and the', 'the sponsorship', 'sponsorship bomb', 'bomb is', 'is coming', 'coming with', 'with the', 'the double', 'double davilacarloss']"
44,2023-01-16,Por eso son mi banco 1 ⭐⭐⭐⭐⭐,"['that', 'why', 'they', 'are', 'my', 'bank', 'that why', 'why they', 'they are', 'are my', 'my bank']"
45,2023-01-17,Gracias,['gracias']
46,2023-01-17,Thanks!,['thanks']
47,2023-01-17,Muchas gracias!,"['thank', 'you', 'so', 'much', 'thank you', 'you so', 'so much']"
48,2023-01-17,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo","['thank', 'you', 'very', 'much', 'it', 'helped', 'enough', 'the', 'position', 'longer', 'proceeded', 'they', 'got', 'very', 'good', 'even', 'when', 'i', 'could', 'not', 'communicate', 'on', 'the', 'phone', 'they', 'were', 'very', 'friendly', 'thank', 'you', 'for', 'your', 'interest', 'it', 'took', 'care', 'of', 'everything', 'thank you', 'you very', 'very much', 'much it', 'it helped', 'helped enough', 'enough the', 'the position', 'position longer', 'longer proceeded', 'proceeded they', 'they got', 'got very', 'very good', 'good even', 'even when', 'when i', 'i could', 'could not', 'not communicate', 'communicate on', 'on the', 'the phone', 'phone they', 'they were', 'were very', 'very friendly', 'friendly thank', 'thank you', 'you for', 'for your', 'your interest', 'interest it', 'it took', 'took care', 'care of', 'of everything']"
49,2023-01-17,"Increíble, gracias HeyBanco!!@heybanco","['incredible', 'thanks', 'heybanco', 'heybanco', 'incredible thanks', 'thanks heybanco', 'heybanco heybanco']"
50,2023-01-17,Me contestaron que sí.,"['they', 'answered', 'yes', 'they answered', 'answered yes']"
51,2023-01-18,Gracias,['gracias']
52,2023-01-18,Gracias!,['gracias']
53,2023-01-18,Graciaaas.,['grace']
54,2023-01-18,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.","['thanks', 'for', 'being', 'on', 'the', 'lookout', 'i', 'am', 'sure', 'that', 'the', 'battery', 'will', 'be', 'put', 'to', 'arrive', 'in', 'the', 'incentive', 'if', 'i', 'will', 'not', 'be', 'asking', 'for', 'your', 'support', 'thanks for', 'for being', 'being on', 'on the', 'the lookout', 'lookout i', 'i am', 'am sure', 'sure that', 'that the', 'the battery', 'battery will', 'will be', 'be put', 'put to', 'to arrive', 'arrive in', 'in the', 'the incentive', 'incentive if', 'if i', 'i will', 'will not', 'not be', 'be asking', 'asking for', 'for your', 'your support']"
55,2023-01-18,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento","['sixth', 'option', 'this', 'option', 'is', 'one', 'of', 'the', 'best', 'it', 'promissory', 'note', 'is', 'the', 'best', 'in', 'the', 'market', 'with', 'annual', 'rate', 'only', 'that', 'the', 'investment', 'here', 'is', 'from', 'it', 'goal', 'that', 'give', 'you', 'performance', 'to', 'expired', 'month', 'of', 'and', 'your', 'money', 'available', 'at', 'any', 'time', 'sixth option', 'option this', 'this option', 'option is', 'is one', 'one of', 'of the', 'the best', 'best it', 'it promissory', 'promissory note', 'note is', 'is the', 'the best', 'best in', 'in the', 'the market', 'market with', 'with annual', 'annual rate', 'rate only', 'only that', 'that the', 'the investment', 'investment here', 'here is', 'is from', 'from it', 'it goal', 'goal that', 'that give', 'give you', 'you performance', 'performance to', 'to expired', 'expired month', 'month of', 'of and', 'and your', 'your money', 'money available', 'available at', 'at any', 'any time']"
56,2023-01-18,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,"['what', 'good', 'vibe', 'for', 'you', 'david', 'to', 'enjoy', 'it', 'what good', 'good vibe', 'vibe for', 'for you', 'you david', 'david to', 'to enjoy', 'enjoy it']"
57,2023-01-19,¡Gracias,[]
58,2023-01-19,"¡Hola!, me pueden apoyar por favor 😬","['hello', 'you', 'can', 'please', 'support', 'hello you', 'you can', 'can please', 'please support']"
59,2023-01-19,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼","['that', 'is', 'appreciated', 'the', 'warning', 'that is', 'is appreciated', 'appreciated the', 'the warning']"
